"","Date","Open","High","Low","Close","Adj.Close","Volume","Price","Price_1","Price_2","Price_3","Price_4","Price_5","SMA_5","SMA_10","SMA_50","tr","tr2","tr3","tr4","tr5"
"1176",2017-12-27,6941.450195,6955.379883,6931.339844,6939.339844,6939.339844,1409540000,6939.339844,6950.160156,6903.390137,7006.899902,7065.529785,7077.910156,6973.0639648,7055.4330078,7225.25178712,6936.25,6959.959961,6965.359863,6960.959961,6963.850098
"1175",2017-12-26,6928.919922,6942.140137,6915.560059,6936.25,6936.25,1304340000,6936.25,6939.339844,6950.160156,6903.390137,7006.899902,7065.529785,6947.2080078,7033.7010254,7212.76058594,6959.959961,6965.359863,6960.959961,6963.850098,6994.759766
"1174",2017-12-22,6958.02002,6962.259766,6944.450195,6959.959961,6959.959961,1539250000,6959.959961,6936.25,6939.339844,6950.160156,6903.390137,7006.899902,6937.8200196,7013.3390137,7203.40078126,6965.359863,6960.959961,6963.850098,6994.759766,6936.580078
"1173",2017-12-21,6972.879883,6992.629883,6961.209961,6965.359863,6965.359863,1815620000,6965.359863,6959.959961,6936.25,6939.339844,6950.160156,6903.390137,6950.2139648,6994.1359863,7194.77498048,6960.959961,6963.850098,6994.759766,6936.580078,6856.529785
"1172",2017-12-20,6991.25,6991.25,6935.419922,6960.959961,6960.959961,1874550000,6960.959961,6965.359863,6959.959961,6936.25,6939.339844,6950.160156,6952.3739258,6976.5759765,7186.55398438,6963.850098,6994.759766,6936.580078,6856.529785,6875.799805
"1171",2017-12-19,6991.25,6995.879883,6951.490234,6963.850098,6963.850098,2071060000,6963.850098,6960.959961,6965.359863,6959.959961,6936.25,6939.339844,6957.2759766,6965.1699707,7179.21678712,6994.759766,6936.580078,6856.529785,6875.799805,6862.319824
"1170",2017-12-18,6980.399902,7003.890137,6975.540039,6994.759766,6994.759766,2144360000,6994.759766,6963.850098,6960.959961,6965.359863,6959.959961,6936.25,6968.9779298,6958.0929688,7173.9545801,6936.580078,6856.529785,6875.799805,6862.319824,6875.080078
"1169",2017-12-15,6871.549805,6945.819824,6871.450195,6936.580078,6936.580078,3510420000,6936.580078,6994.759766,6963.850098,6960.959961,6965.359863,6959.959961,6964.3019532,6951.0609864,7169.07498048,6856.529785,6875.799805,6862.319824,6875.080078,6840.080078
"1168",2017-12-14,6887.379883,6901.129883,6851.629883,6856.529785,6856.529785,1985200000,6856.529785,6936.580078,6994.759766,6963.850098,6960.959961,6965.359863,6942.5359376,6946.3749512,7160.74538086,6875.799805,6862.319824,6875.080078,6840.080078,6812.839844
"1167",2017-12-13,6880.410156,6897.620117,6871.870117,6875.799805,6875.799805,1919560000,6875.799805,6856.529785,6936.580078,6994.759766,6963.850098,6960.959961,6925.5039064,6938.9389161,7151.654375,6862.319824,6875.080078,6840.080078,6812.839844,6776.379883
"1166",2017-12-12,6872.709961,6884.799805,6856.299805,6862.319824,6862.319824,1861560000,6862.319824,6875.799805,6856.529785,6936.580078,6994.759766,6963.850098,6905.1978516,6931.2369141,7140.47157226,6875.080078,6840.080078,6812.839844,6776.379883,6762.209961
"1165",2017-12-11,6847.640137,6879.799805,6844.879883,6875.080078,6875.080078,1818970000,6875.080078,6862.319824,6875.799805,6856.529785,6936.580078,6994.759766,6881.261914,6925.1199219,7131.22537108,6840.080078,6812.839844,6776.379883,6762.209961,6775.370117
"1164",2017-12-08,6859.950195,6870.47998,6831.609863,6840.080078,6840.080078,1806040000,6840.080078,6875.080078,6862.319824,6875.799805,6856.529785,6936.580078,6861.961914,6913.1319336,7123.82517576,6812.839844,6776.379883,6762.209961,6775.370117,6847.589844
"1163",2017-12-07,6785.740234,6829.290039,6778.200195,6812.839844,6812.839844,1934120000,6812.839844,6840.080078,6875.080078,6862.319824,6875.799805,6856.529785,6853.2239258,6897.8799317,7115.71737304,6776.379883,6762.209961,6775.370117,6847.589844,6873.970215
"1162",2017-12-06,6742.069824,6787.419922,6734.129883,6776.379883,6776.379883,1891850000,6776.379883,6812.839844,6840.080078,6875.080078,6862.319824,6875.799805,6833.3399414,6879.4219239,7106.55876952,6762.209961,6775.370117,6847.589844,6873.970215,6824.390137
"1161",2017-12-05,6759.140137,6836.450195,6752.319824,6762.209961,6762.209961,2083540000,6762.209961,6776.379883,6812.839844,6840.080078,6875.080078,6862.319824,6813.3179688,6859.2579102,7097.01356444,6775.370117,6847.589844,6873.970215,6824.390137,6912.359863
"1160",2017-12-04,6897.129883,6899.22998,6770.689941,6775.370117,6775.370117,2426570000,6775.370117,6762.209961,6776.379883,6812.839844,6840.080078,6875.080078,6793.3759766,6837.3189453,7087.39236326,6847.589844,6873.970215,6824.390137,6912.359863,6878.52002
"1159",2017-12-01,6844.040039,6872.169922,6737.160156,6847.589844,6847.589844,2293570000,6847.589844,6775.370117,6762.209961,6776.379883,6812.839844,6840.080078,6794.8779298,6828.4199219,7081.4717578,6873.970215,6824.390137,6912.359863,6878.52002,6889.160156
"1158",2017-11-30,6852.799805,6888.649902,6838.47998,6873.970215,6873.970215,2458580000,6873.970215,6847.589844,6775.370117,6762.209961,6776.379883,6812.839844,6807.104004,6830.1639649,7078.68096678,6824.390137,6912.359863,6878.52002,6889.160156,6867.359863
